yr,i,fd,value
2012,nmp,pce,15.956
2012,brd,equipment,7.155
2012,brd,intelprop,23.236
2012,brd,pce,292.88
2012,bnk,pce,188.824
2012,ore,structures,14.605
2012,ore,residential,82.654
2012,ore,pce,4.9590000000000005
2012,edu,pce,300.257
2012,ote,def_equipment,39.807
2012,ote,changinv,6.932
2012,ote,state_equipment,1.6480000000000001
2012,ote,fed_equipment,3.529
2012,ote,equipment,56.643
2012,ote,pce,26.607
2012,mch,def_equipment,2.096
2012,mch,changinv,7.795
2012,mch,state_equipment,8.619
2012,mch,fed_equipment,0.665
2012,mch,equipment,315.011
2012,mch,pce,16.529
2012,dat,def_intelprop,0.676
2012,dat,state_intelprop,1.7810000000000001
2012,dat,intelprop,14.169
2012,dat,pce,31.637
2012,dat,fed_intelprop,0.679
2012,amd,pce,123.944
2012,oil,changinv,2.9290000000000003
2012,hos,pce,853.565
2012,rnt,pce,70.88
2012,pla,changinv,2.696
2012,pla,fed_equipment,0.036000000000000004
2012,pla,residential,0.216
2012,pla,equipment,0.277
2012,pla,pce,60.285000000000004
2012,fof,changinv,0.909
2012,fof,pce,7.291
2012,fin,pce,128.51500000000001
2012,tsv,def_intelprop,61.47
2012,tsv,residential,1.21
2012,tsv,equipment,42.239000000000004
2012,tsv,state_intelprop,15.675
2012,tsv,intelprop,314.582
2012,tsv,pce,55.602000000000004
2012,tsv,fed_intelprop,69.932
2012,nrs,pce,206.871
2012,sec,pce,205.96800000000002
2012,art,intelprop,4.199
2012,art,pce,61.736000000000004
2012,mov,changinv,0.123
2012,mov,intelprop,31.961000000000002
2012,mov,pce,33.055
2012,fpd,def_equipment,0.001
2012,fpd,changinv,2.134
2012,fpd,state_equipment,3.684
2012,fpd,fed_equipment,0.132
2012,fpd,residential,0.603
2012,fpd,equipment,34.639
2012,fpd,pce,91.812
2012,slg,state_consume,1516.729
2012,pri,changinv,-0.10200000000000001
2012,pri,pce,11.495000000000001
2012,grd,pce,33.22
2012,sle,pce,58.679
2012,osv,pce,513.444
2012,trn,pce,1.316
2012,smn,changinv,0.011
2012,smn,structures,152.911
2012,smn,equipment,3.775
2012,fmt,def_equipment,2.847
2012,fmt,changinv,5.041
2012,fmt,state_equipment,0.9550000000000001
2012,fmt,fed_equipment,1.409
2012,fmt,equipment,15.655000000000001
2012,fmt,pce,33.439
2012,pet,changinv,5.158
