yr,va,j,value
2006,compen,rnt,28.968
2006,compen,pla,40.986000000000004
2006,compen,fof,16.11
2006,compen,fin,1.801
2006,compen,tsv,375.985
2006,compen,nrs,90.138
2006,compen,sec,186.629
2006,compen,art,36.597
2006,compen,mov,24.983
2006,compen,fpd,23.98
2006,compen,slg,989.8430000000001
2006,compen,pri,32.962
2006,compen,grd,13.558
2006,compen,pip,4.233
2006,compen,sle,79.544
2006,compen,osv,218.85
2006,compen,trn,18.707
2006,compen,smn,20.345
2006,compen,fmt,85.389
2006,compen,pet,15.609
2006,compen,mvt,94.781
2006,compen,cep,129.631
2006,compen,wst,19.971
2006,compen,mot,75.409
2006,compen,adm,272.458
2006,compen,soc,62.091
2006,compen,alt,10.962
2006,compen,pmt,31.978
2006,compen,trk,74.019
2006,compen,fdd,192.984
2006,compen,gmt,75.049
2006,compen,wtt,5.09
2006,compen,wpd,24.803
2006,compen,wht,404.598
2006,compen,wrh,28.588
2006,compen,ott,247.316
2006,compen,che,81.64
2006,compen,air,36.857
2006,compen,mmf,42.981
2006,compen,otr,59.951
2006,compen,min,15.757
2012,othtax,ppd,1.6540000000000001
2012,othtax,res,3.732
2012,othtax,com,1.457
2012,othtax,amb,6.763
2012,othtax,fbp,5.385
2012,othtax,rec,2.856
2012,othtax,con,6.221
2012,othtax,agr,8.218
2012,othtax,eec,1.033
2012,othtax,pub,2.677
2012,othtax,hou,208.847
2012,othtax,fbt,2.87
2012,othtax,ins,5.61
2012,othtax,tex,0.582
2012,othtax,leg,1.061
2012,othtax,uti,28.021
2012,othtax,nmp,1.203
2012,othtax,brd,3.724
2012,othtax,bnk,15.001
2012,othtax,ore,21.981
2012,othtax,edu,7.2780000000000005
2012,othtax,ote,2.213
2012,othtax,man,7.211
2012,othtax,mch,3.189
2012,othtax,dat,1.754
2012,othtax,amd,4.464
2012,othtax,oil,17.97
2012,othtax,hos,9.892
2012,othtax,rnt,6.838
2012,othtax,pla,1.395
2012,othtax,fof,0.984
2012,othtax,fin,0.8160000000000001
2012,othtax,tsv,7.555
2012,othtax,nrs,2.9370000000000003
2012,othtax,sec,3.872
2012,othtax,art,2.0340000000000003
2012,othtax,mov,3.657
2012,othtax,fpd,0.354
2012,othtax,pri,0.744
2012,othtax,grd,0.854
2012,othtax,pip,2.496
2012,othtax,osv,8.818
2012,othtax,trn,1.091
2012,othtax,smn,2.039
2012,othtax,fmt,2.611
2012,othtax,pet,2.755
2012,othtax,mvt,3.032
2012,othtax,cep,6.833
2012,othtax,wst,1.733
2012,othtax,mot,2.822
2012,othtax,adm,2.976
2012,othtax,soc,0.9460000000000001
2012,othtax,alt,0.276
2012,othtax,pmt,2.265
2012,othtax,trk,3.515
2012,othtax,gmt,2.902
2012,othtax,wtt,0.604
2012,othtax,wpd,0.583
2012,othtax,wht,10.9
2012,othtax,wrh,0.585
2012,othtax,ott,10.347
2012,othtax,che,11.313
2012,othtax,air,3.057
2012,othtax,mmf,1.583
2012,othtax,otr,1.95
2012,othtax,min,2.308
2012,surplus,ppd,22.104
2012,surplus,res,66.55
2012,surplus,com,55.008
2012,surplus,amb,129.89600000000002
2012,surplus,fbp,96.27
2012,surplus,rec,17.847
2012,surplus,con,180.018
2012,surplus,agr,121.178
2012,surplus,eec,19.818
2012,surplus,fnd,95.001
2012,surplus,pub,105.429
2012,surplus,hou,1323.046
2012,surplus,fbt,27.673000000000002
2012,surplus,ins,166.44
2012,surplus,tex,4.176
2012,surplus,leg,90.372
2012,surplus,fen,-0.751
2012,surplus,uti,150.976
2012,surplus,nmp,17.888
2012,surplus,brd,226.46
2012,surplus,bnk,284.5
2012,surplus,ore,305.053
2012,surplus,edu,44.469
2012,surplus,ote,52.647
2012,surplus,man,34.355000000000004
2012,surplus,mch,60.677
2012,surplus,dat,64.56700000000001
2012,surplus,amd,38.511
2012,surplus,oil,156.786
2012,surplus,hos,59.085
2012,surplus,rnt,125.699
2012,surplus,pla,26.904
2012,surplus,fof,9.253
2012,surplus,fin,11.604000000000001
2012,surplus,tsv,239.20000000000002
2012,surplus,nrs,7.674
2012,surplus,sec,24.846
2012,surplus,art,49.806000000000004
2012,surplus,mov,45.566
2012,surplus,fpd,4.699
2012,surplus,slg,178.351
2012,surplus,pri,11.981
2012,surplus,grd,17.581
2012,surplus,pip,15.911
2012,surplus,sle,45.994
2012,surplus,osv,78.07000000000001
2012,surplus,trn,17.252
2012,surplus,smn,29.411
2012,surplus,fmt,44.47
2012,surplus,pet,137.115
2012,surplus,mvt,31.308
2012,surplus,cep,102.643
2012,surplus,wst,15.407
2012,surplus,mot,55.504
2012,surplus,adm,106.371
2012,surplus,soc,9.387
2012,surplus,alt,1.542
2012,surplus,pmt,31.914
2012,surplus,trk,45.292
2012,surplus,fdd,159.606
2012,surplus,gmt,11.479000000000001
2012,surplus,wtt,6.321
2012,surplus,wpd,8.428
2012,surplus,wht,347.228
2012,surplus,wrh,10.867
2012,surplus,ott,133.209
2012,surplus,che,198.952
2012,surplus,air,30.240000000000002
2012,surplus,mmf,33.242
2012,surplus,otr,25.408
2012,surplus,min,41.773
