yr,m,i,value
2007,trn,mch,9.505
2007,trn,oil,25.155
2007,trn,pla,4.779
2007,trn,fof,2.611
2007,trn,mov,0.253
2007,trn,fpd,13.767
2007,trn,pri,3.0180000000000002
2007,trn,fmt,7.634
2007,trn,pet,16.339
2007,trn,cep,9.086
2007,trn,mot,12.42
2007,trn,alt,6.018
2007,trn,pmt,9.708
2007,trn,wpd,6.851
2007,trn,che,25.57
2007,trn,mmf,15.667
2007,trn,min,24.603
2007,trd,ppd,33.772
2007,trd,fbp,309.945
2007,trd,agr,61.27
2007,trd,eec,65.995
2007,trd,use,76.527
2007,trd,pub,48.067
2007,trd,tex,54.54
2007,trd,nmp,36.363
2007,trd,ote,17.787
2007,trd,mch,103.084
2007,trd,oil,7.921
2007,trd,pla,65.178
2007,trd,fof,6.963
2007,trd,mov,8.547
2007,trd,fpd,60.021
2007,trd,pri,10.067
2007,trd,fmt,73.07000000000001
2007,trd,pet,108.593
2007,trd,cep,148.83
2007,trd,mot,118.633
2007,trd,alt,179.695
2007,trd,pmt,29.496000000000002
2007,trd,wpd,27.073
2007,trd,che,267.216
2007,trd,mmf,147.334
2007,trd,min,5.307
2010,trn,ppd,9.693
2010,trn,fbp,21.202
2010,trn,agr,37.233000000000004
2010,trn,eec,4.61
2010,trn,use,31.163
2010,trn,pub,3.362
2010,trn,tex,3.103
2010,trn,nmp,12.912
2010,trn,ote,1.782
2010,trn,mch,11.027000000000001
2010,trn,oil,33.219
2010,trn,pla,3.677
2010,trn,fof,2.737
2010,trn,mov,0.132
2010,trn,fpd,10.31
2010,trn,pri,2.682
2010,trn,fmt,8.546
2010,trn,pet,18.816
2010,trn,cep,7.668
2010,trn,mot,7.948
2010,trn,alt,6.164
2010,trn,pmt,9.805
2010,trn,wpd,4.578
2010,trn,che,25.03
2010,trn,mmf,12.573
2010,trn,min,27.249000000000002
2010,trd,ppd,35.803
2010,trd,fbp,336.462
2010,trd,agr,65.543
2010,trd,eec,66.151
2010,trd,use,74.554
2010,trd,pub,60.761
2010,trd,tex,48.639
2010,trd,nmp,27.239
2010,trd,ote,17.23
2010,trd,mch,114.523
2010,trd,oil,8.342
2010,trd,pla,67.33200000000001
2010,trd,fof,7.641
2010,trd,mov,7.95
2010,trd,fpd,54.272
2010,trd,pri,11.006
2010,trd,fmt,68.696
2010,trd,pet,105.376
2010,trd,cep,163.843
2010,trd,mot,120.44800000000001
2010,trd,alt,183.229
2010,trd,pmt,24.795
2010,trd,wpd,21.247
2010,trd,che,303.281
2010,trd,mmf,151.588
2010,trd,min,4.4430000000000005
2003,trn,ppd,7.6850000000000005
2003,trn,fbp,13.994
2003,trn,agr,19.7
2003,trn,eec,4.019
2003,trn,use,23.901
2003,trn,pub,3.337
2003,trn,tex,3.149
2003,trn,nmp,13.409
2003,trn,ote,1.551
2003,trn,mch,6.644
2003,trn,oil,21.117
2003,trn,pla,3.461
2003,trn,fof,2.192
2003,trn,mov,0.234
2003,trn,fpd,10.671
2003,trn,pri,2.695
2003,trn,fmt,5.34
2003,trn,pet,10.377
2003,trn,cep,6.899
2003,trn,mot,8.977
2003,trn,alt,5.2010000000000005
2003,trn,pmt,4.997
2003,trn,wpd,5.574
2003,trn,che,16.277
2003,trn,mmf,11.436
2003,trn,min,14.917
2003,trd,ppd,26.787
2003,trd,fbp,257.06
2003,trd,agr,48.617000000000004
2003,trd,eec,46.956
2003,trd,use,58.58
2003,trd,pub,36.882
2003,trd,tex,45.541000000000004
2003,trd,nmp,27.263
2003,trd,ote,14.808
2003,trd,mch,80.166
2003,trd,oil,3.883
2003,trd,pla,47.870000000000005
2003,trd,fof,6.619
2003,trd,mov,7.875
2003,trd,fpd,42.885
2003,trd,pri,8.68
2003,trd,fmt,49.995000000000005
2003,trd,pet,74.987
2003,trd,cep,104.35000000000001
2003,trd,mot,106.039
2003,trd,alt,145.655
2003,trd,pmt,15.822000000000001
2003,trd,wpd,22.892
2003,trd,che,195.571
2003,trd,mmf,111.19800000000001
2003,trd,min,4.578
2011,trn,ppd,10.869
2011,trn,fbp,23.163
2011,trn,agr,40.215
2011,trn,eec,5.431
2011,trn,use,35.36
2011,trn,pub,3.521
2011,trn,tex,3.555
2011,trn,nmp,14.403
2011,trn,ote,2.075
2011,trn,mch,12.667
2011,trn,oil,38.407000000000004
2011,trn,pla,4.0920000000000005
2011,trn,fof,2.96
2011,trn,mov,0.117
2011,trn,fpd,11.25
2011,trn,pri,2.932
2011,trn,fmt,9.059000000000001
2011,trn,pet,21.709
2011,trn,cep,7.9030000000000005
2011,trn,mot,9.367
2011,trn,alt,7.237
2011,trn,pmt,11.534
2011,trn,wpd,5.038
2011,trn,che,27.763
2011,trn,mmf,13.741
