yr,i,fd,value
2004,edu,fed_structures,-9.97494099087405e-9
2000,edu,fed_structures,-9.99090909020298e-9
1997,edu,fed_structures,-9.97494099910309e-9
2007,edu,fed_structures,-9.97494097437584e-9
2010,edu,fed_structures,-9.974940982467546e-9
2003,edu,fed_structures,-9.990909102432256e-9
2011,edu,fed_structures,-9.974940976663707e-9
2001,edu,fed_structures,-9.990909102498291e-9
2008,ote,fed_structures,-9.974941348334353e-9
2009,ote,fed_structures,-9.974941624663533e-9
2005,ote,fed_structures,-9.974941002012556e-9
2006,ote,fed_structures,-9.974940981690347e-9
2012,ote,fed_structures,-9.990909101687413e-9
2014,ote,fed_structures,-9.990909100294925e-9
2013,ote,fed_structures,-9.990909103435482e-9
1999,ote,fed_structures,-9.974941038837688e-9
2002,ote,fed_structures,-9.990909092111601e-9
2017,ote,fed_structures,-9.990909092784264e-9
2016,ote,fed_structures,-9.974941638190374e-9
2015,ote,fed_structures,-9.974940944242994e-9
1998,ote,fed_structures,-9.974941007573122e-9
2004,ote,fed_structures,-9.974941438639642e-9
2000,ote,fed_structures,-9.990909999854245e-9
1997,ote,fed_structures,-9.974941049553644e-9
2007,ote,fed_structures,-9.974940959279979e-9
2010,ote,fed_structures,-9.97494103275575e-9
2003,ote,fed_structures,-9.990909267688968e-9
2011,ote,fed_structures,-9.97494099651574e-9
2001,ote,fed_structures,-9.990909131383235e-9
2008,man,fed_structures,-9.974940526202245e-9
2009,man,fed_structures,-9.974941251746405e-9
2005,man,fed_structures,-9.974940996048314e-9
2006,man,fed_structures,-9.974940994062495e-9
2012,man,fed_structures,-9.990909111239782e-9
2014,man,fed_structures,-9.990909111518853e-9
2013,man,fed_structures,-9.990909111618373e-9
1999,man,fed_structures,-9.974940912033684e-9
2002,man,fed_structures,-9.990909088890714e-9
2017,man,fed_structures,-9.990909111377964e-9
2016,man,fed_structures,-9.974941013793134e-9
2015,man,fed_structures,-9.974940976939112e-9
1998,man,fed_structures,-9.974940946033985e-9
2004,man,fed_structures,-9.974941000312285e-9
2000,man,fed_structures,-9.990909034417606e-9
1997,man,fed_structures,-9.974940945721743e-9
2007,man,fed_structures,-9.974940907463107e-9
2010,man,fed_structures,-9.974941024648483e-9
2003,man,fed_structures,-9.990909103831607e-9
2011,man,fed_structures,-9.974940918911137e-9
2001,man,fed_structures,-9.990909128529073e-9
2008,mch,fed_structures,-9.974940793875849e-9
2009,mch,fed_structures,-9.974942423962803e-9
2005,mch,fed_structures,-9.974940746836436e-9
2006,mch,fed_structures,-9.974940748573524e-9
2012,mch,fed_structures,-9.990909023480148e-9
2014,mch,fed_structures,-9.990909021073666e-9
2013,mch,fed_structures,-9.990909023046023e-9
1999,mch,fed_structures,-9.974940702744826e-9
2002,mch,fed_structures,-9.990909012675063e-9
2017,mch,fed_structures,-9.990909004785757e-9
2016,mch,fed_structures,-9.974940848424478e-9
2015,mch,fed_structures,-9.974940709524928e-9
1998,mch,fed_structures,-9.974940734535409e-9
2004,mch,fed_structures,-9.974940741857823e-9
2000,mch,fed_structures,-9.990908995005006e-9
1997,mch,fed_structures,-9.974940756348611e-9
2007,mch,fed_structures,-9.974940723838514e-9
2010,mch,fed_structures,-9.97494076907476e-9
2003,mch,fed_structures,-9.990909043573167e-9
2011,mch,fed_structures,-9.974940738491302e-9
2001,mch,fed_structures,-9.990909330416393e-9
2008,dat,fed_structures,-9.974940783466262e-9
2009,dat,fed_structures,-9.974941284115091e-9
2005,dat,fed_structures,-9.9749411670652e-9
2006,dat,fed_structures,-9.974941159829257e-9
2012,dat,fed_structures,-9.990909149975365e-9
2014,dat,fed_structures,-9.990909147050239e-9
2013,dat,fed_structures,-9.990909145502363e-9
1999,dat,fed_structures,-9.974939466148135e-9
2002,dat,fed_structures,-9.990909148480969e-9
2017,dat,fed_structures,-9.990909143469469e-9
2016,dat,fed_structures,-9.97494110083882e-9
2015,dat,fed_structures,-9.974941087158862e-9
1998,dat,fed_structures,-9.974941116765677e-9
2004,dat,fed_structures,-9.974941187675723e-9
2000,dat,fed_structures,-9.990908213095093e-9
1997,dat,fed_structures,-9.974941115714719e-9
2007,dat,fed_structures,-9.974941074212814e-9
2010,dat,fed_structures,-9.974941154885034e-9
2003,dat,fed_structures,-9.990909169994519e-9
2011,dat,fed_structures,-9.974941059299444e-9
2001,dat,fed_structures,-9.990908504402489e-9
2008,amd,fed_structures,-9.974940764261201e-9
2009,amd,fed_structures,-9.974941104680076e-9
2005,amd,fed_structures,-9.974941051368769e-9
2006,amd,fed_structures,-9.974941045237313e-9
2012,amd,fed_structures,-9.990909125791729e-9
2014,amd,fed_structures,-9.990909126304543e-9
2013,amd,fed_structures,-9.99090912572075e-9
1999,amd,fed_structures,-9.97494095813129e-9
2002,amd,fed_structures,-9.990909118464267e-9
2017,amd,fed_structures,-9.990909128241035e-9
2016,amd,fed_structures,-9.974941059631511e-9
2015,amd,fed_structures,-9.974941047549498e-9
