yr,va,j,value
2008,othtax,pub,0.0
2009,othtax,pub,0.0
2005,othtax,pub,0.0
2006,othtax,pub,0.0
2012,othtax,pub,0.0
2014,othtax,pub,0.0
2013,othtax,pub,0.0
1999,othtax,pub,0.0
2002,othtax,pub,0.0
2017,othtax,pub,0.0
2016,othtax,pub,0.0
2015,othtax,pub,0.0
1998,othtax,pub,0.0
2004,othtax,pub,0.0
2000,othtax,pub,0.0
1997,othtax,pub,0.0
2007,othtax,pub,0.0
2010,othtax,pub,0.0
2003,othtax,pub,0.0
2011,othtax,pub,0.0
2001,othtax,pub,0.0
2008,surplus,pub,99.17046784697078
2009,surplus,pub,92.61195438049333
2005,surplus,pub,95.26431268538128
2006,surplus,pub,80.83648610680622
2012,surplus,pub,105.50217385321355
2014,surplus,pub,105.22413070095226
2013,surplus,pub,107.01315815989086
1999,surplus,pub,66.52148180849237
2002,surplus,pub,64.59525843246635
2017,surplus,pub,113.42507137934057
2016,surplus,pub,109.00535907875818
2015,surplus,pub,102.70562880956189
1998,surplus,pub,45.44034456356157
2004,surplus,pub,85.41884271768589
2000,surplus,pub,37.65554796930052
1997,surplus,pub,43.577448364859414
2007,surplus,pub,102.13479757509657
2010,surplus,pub,101.38017550309308
2003,surplus,pub,71.15291802368455
2011,surplus,pub,103.52312699167511
2001,surplus,pub,37.416649303701774
2008,compen,pub,86.01995959764956
2009,compen,pub,82.98811874543009
2005,compen,pub,74.33276492692832
2006,compen,pub,78.18460024348518
2012,compen,pub,92.27399909947734
2014,compen,pub,106.94078540390923
2013,compen,pub,99.52050624537215
1999,compen,pub,70.4189638681831
2002,compen,pub,69.60282112136987
2017,compen,pub,130.82208840060363
2016,compen,pub,118.90757263688421
2015,compen,pub,114.76065087738795
1998,compen,pub,61.157350798287965
2004,compen,pub,72.23806545674884
2000,compen,pub,75.6988567061831
1997,compen,pub,52.06997667311731
2007,compen,pub,86.01388144241024
2010,compen,pub,81.78445157999333
2003,compen,pub,71.64830734277963
2011,compen,pub,87.26452052506124
2001,compen,pub,75.97101086344314
