yr,va,j,value
2008,compen,fbt,0.0
2009,compen,fbt,0.0
2005,compen,fbt,0.0
2006,compen,fbt,0.0
2012,compen,fbt,0.0
2014,compen,fbt,0.0
2013,compen,fbt,0.0
1999,compen,fbt,0.0
2002,compen,fbt,0.0
2017,compen,fbt,0.0
2016,compen,fbt,0.0
2015,compen,fbt,0.0
1998,compen,fbt,0.0
2004,compen,fbt,0.0
2000,compen,fbt,0.0
1997,compen,fbt,0.0
2007,compen,fbt,0.0
2010,compen,fbt,0.0
2003,compen,fbt,0.0
2011,compen,fbt,0.0
2001,compen,fbt,0.0
2008,othtax,ins,0.0
2009,othtax,ins,0.0
2005,othtax,ins,0.0
2006,othtax,ins,0.0
2012,othtax,ins,0.0
2014,othtax,ins,0.0
2013,othtax,ins,0.0
1999,othtax,ins,0.0
2002,othtax,ins,0.0
2017,othtax,ins,0.0
2016,othtax,ins,0.0
2015,othtax,ins,0.0
1998,othtax,ins,0.0
2004,othtax,ins,0.0
2000,othtax,ins,0.0
1997,othtax,ins,0.0
2007,othtax,ins,0.0
2010,othtax,ins,0.0
2003,othtax,ins,0.0
2011,othtax,ins,0.0
2001,othtax,ins,0.0
2008,surplus,ins,0.0
2009,surplus,ins,0.0
2005,surplus,ins,0.0
2006,surplus,ins,0.0
2012,surplus,ins,0.0
2014,surplus,ins,0.0
2013,surplus,ins,0.0
1999,surplus,ins,0.0
2002,surplus,ins,0.0
2017,surplus,ins,0.0
2016,surplus,ins,0.0
2015,surplus,ins,0.0
1998,surplus,ins,0.0
2004,surplus,ins,0.0
2000,surplus,ins,0.0
1997,surplus,ins,0.0
2007,surplus,ins,0.0
2010,surplus,ins,0.0
2003,surplus,ins,0.0
2011,surplus,ins,0.0
2001,surplus,ins,0.0
2008,compen,ins,0.0
2009,compen,ins,0.0
2005,compen,ins,0.0
2006,compen,ins,0.0
2012,compen,ins,0.0
2014,compen,ins,0.0
2013,compen,ins,0.0
1999,compen,ins,0.0
2002,compen,ins,0.0
2017,compen,ins,0.0
2016,compen,ins,0.0
2015,compen,ins,0.0
1998,compen,ins,0.0
2004,compen,ins,0.0
2000,compen,ins,0.0
1997,compen,ins,0.0
2007,compen,ins,0.0
2010,compen,ins,0.0
2003,compen,ins,0.0
2011,compen,ins,0.0
2001,compen,ins,0.0
2008,othtax,tex,0.0
2009,othtax,tex,0.0
2005,othtax,tex,0.0
2006,othtax,tex,0.0
2012,othtax,tex,0.0
2014,othtax,tex,0.0
2013,othtax,tex,0.0
1999,othtax,tex,0.0
2002,othtax,tex,0.0
2017,othtax,tex,0.0
2016,othtax,tex,0.0
2015,othtax,tex,0.0
1998,othtax,tex,0.0
2004,othtax,tex,0.0
2000,othtax,tex,0.0
1997,othtax,tex,0.0
2007,othtax,tex,0.0
2010,othtax,tex,0.0
2003,othtax,tex,0.0
2011,othtax,tex,0.0
2001,othtax,tex,0.0
2008,surplus,tex,0.0
2009,surplus,tex,0.0
2005,surplus,tex,0.0
2006,surplus,tex,0.0
2012,surplus,tex,0.0
2014,surplus,tex,0.0
2013,surplus,tex,0.0
1999,surplus,tex,0.0
2002,surplus,tex,0.0
2017,surplus,tex,0.0
2016,surplus,tex,0.0
2015,surplus,tex,0.0
1998,surplus,tex,0.0
2004,surplus,tex,0.0
2000,surplus,tex,0.0
1997,surplus,tex,0.0
2007,surplus,tex,0.0
2010,surplus,tex,0.0
2003,surplus,tex,0.0
2011,surplus,tex,0.0
2001,surplus,tex,0.0
2008,compen,tex,0.0
2009,compen,tex,0.0
2005,compen,tex,0.0
2006,compen,tex,0.0
2012,compen,tex,0.0
2014,compen,tex,0.0
2013,compen,tex,0.0
1999,compen,tex,0.0
2002,compen,tex,0.0
2017,compen,tex,0.0
2016,compen,tex,0.0
2015,compen,tex,0.0
1998,compen,tex,0.0
2004,compen,tex,0.0
2000,compen,tex,0.0
1997,compen,tex,0.0
2007,compen,tex,0.0
2010,compen,tex,0.0
2003,compen,tex,0.0
2011,compen,tex,0.0
2001,compen,tex,0.0
2008,othtax,leg,0.0
2009,othtax,leg,0.0
2005,othtax,leg,0.0
2006,othtax,leg,0.0
2012,othtax,leg,0.0
2014,othtax,leg,0.0
2013,othtax,leg,0.0
1999,othtax,leg,0.0
2002,othtax,leg,0.0
2017,othtax,leg,0.0
2016,othtax,leg,0.0
2015,othtax,leg,0.0
