uni_0,uni_1,uni_2,uni_3,value
MI,2017,11112,millions of us dollars (USD),0.039
DE,2012,11115,millions of us dollars (USD),117.60499999999999
DE,2012,11119,millions of us dollars (USD),165.79999999999998
DE,2012,1112,millions of us dollars (USD),48.71
DE,2012,1119,millions of us dollars (USD),12.613999999999999
DE,2012,1123,millions of us dollars (USD),46.393
DE,2017,11115,millions of us dollars (USD),100.70299999999999
DE,2017,11119,millions of us dollars (USD),62.202999999999996
DE,2017,1112,millions of us dollars (USD),54.611
DE,2017,1113,millions of us dollars (USD),1.88
DE,2017,1114,millions of us dollars (USD),24.418
DE,2017,1119,millions of us dollars (USD),7.935
DE,2017,11211,millions of us dollars (USD),1.784
DE,2017,11212,millions of us dollars (USD),4.428
DE,2017,1123,millions of us dollars (USD),43.69
DE,2017,1129,millions of us dollars (USD),0.081
HI,2012,11115,millions of us dollars (USD),152.399
HI,2012,1113,millions of us dollars (USD),149.185
HI,2012,1114,millions of us dollars (USD),80.999
HI,2012,1123,millions of us dollars (USD),0.005
HI,2012,1129,millions of us dollars (USD),0.25
HI,2017,11115,millions of us dollars (USD),85.207
HI,2017,1113,millions of us dollars (USD),141.271
HI,2017,1114,millions of us dollars (USD),101.246
HI,2017,1119,millions of us dollars (USD),0.967
HI,2017,11211,millions of us dollars (USD),0.525
HI,2017,1129,millions of us dollars (USD),0.599
GA,2012,11111,millions of us dollars (USD),29.404999999999998
GA,2012,11115,millions of us dollars (USD),106.408
GA,2012,11119,millions of us dollars (USD),122.71199999999999
GA,2012,1112,millions of us dollars (USD),367.851
GA,2012,1113,millions of us dollars (USD),280.693
GA,2012,1114,millions of us dollars (USD),254.06099999999998
GA,2012,1119,millions of us dollars (USD),2388.961
GA,2012,11211,millions of us dollars (USD),17.747
GA,2012,11212,millions of us dollars (USD),17.596
GA,2012,1122,millions of us dollars (USD),2.8619999999999997
GA,2012,1123,millions of us dollars (USD),66.661
GA,2012,1124,millions of us dollars (USD),0.152
GA,2012,1125,millions of us dollars (USD),0.018
GA,2012,1129,millions of us dollars (USD),4.229
GA,2012,11114,millions of us dollars (USD),11.088999999999999
GA,2017,11111,millions of us dollars (USD),15.411999999999999
GA,2017,11115,millions of us dollars (USD),43.138
GA,2017,11119,millions of us dollars (USD),27.767
GA,2017,1112,millions of us dollars (USD),550.262
GA,2017,1113,millions of us dollars (USD),399.368
GA,2017,1114,millions of us dollars (USD),318.83299999999997
GA,2017,1119,millions of us dollars (USD),1813.914
GA,2017,11211,millions of us dollars (USD),18.822
GA,2017,11212,millions of us dollars (USD),17.334
GA,2017,1123,millions of us dollars (USD),63.568
GA,2017,1129,millions of us dollars (USD),2.014
GA,2017,11114,millions of us dollars (USD),0.176
GA,2017,11112,millions of us dollars (USD),0.031
CA,2012,11115,millions of us dollars (USD),161.60399999999998
CA,2012,11119,millions of us dollars (USD),155.74099999999999
CA,2012,1112,millions of us dollars (USD),6389.735
CA,2012,1113,millions of us dollars (USD),17350.27
CA,2012,1114,millions of us dollars (USD),2512.9719999999998
CA,2012,1119,millions of us dollars (USD),2697.4269999999997
CA,2012,11211,millions of us dollars (USD),58.837999999999994
CA,2012,11212,millions of us dollars (USD),225.821
CA,2012,1123,millions of us dollars (USD),14.578
CA,2012,1124,millions of us dollars (USD),6.135
CA,2012,1129,millions of us dollars (USD),3.796
CA,2012,11114,millions of us dollars (USD),35.18
CA,2012,11116,millions of us dollars (USD),740.7819999999999
CA,2017,11115,millions of us dollars (USD),82.25
CA,2017,11119,millions of us dollars (USD),73.021
CA,2017,1112,millions of us dollars (USD),8172.383
CA,2017,1113,millions of us dollars (USD),19504.021
CA,2017,1114,millions of us dollars (USD),2928.998
