year,state,windc_label,units,value
2005,KS,pce,millions of us dollars (USD),76698.5
2005,KY,pce,millions of us dollars (USD),106030.8
2005,LA,pce,millions of us dollars (USD),110707.8
2005,ME,pce,millions of us dollars (USD),41243.5
2005,MD,pce,millions of us dollars (USD),185347.9
2005,MA,pce,millions of us dollars (USD),242903.3
2005,MI,pce,millions of us dollars (USD),276927.9
2005,MN,pce,millions of us dollars (USD),168509.1
2005,MS,pce,millions of us dollars (USD),65218.2
2005,MO,pce,millions of us dollars (USD),165853.4
2005,MT,pce,millions of us dollars (USD),26411.6
2005,NE,pce,millions of us dollars (USD),49903.2
2005,NV,pce,millions of us dollars (USD),74539.1
2005,NH,pce,millions of us dollars (USD),46421.1
2005,NJ,pce,millions of us dollars (USD),309869.0
2005,NM,pce,millions of us dollars (USD),48481.1
2005,NY,pce,millions of us dollars (USD),600786.2
2005,NC,pce,millions of us dollars (USD),233842.1
2005,ND,pce,millions of us dollars (USD),18379.5
2005,OH,pce,millions of us dollars (USD),320609.2
2005,OK,pce,millions of us dollars (USD),86850.6
2005,OR,pce,millions of us dollars (USD),104621.6
2005,PA,pce,millions of us dollars (USD),390394.7
2005,RI,pce,millions of us dollars (USD),33233.1
2005,SC,pce,millions of us dollars (USD),112950.6
2005,SD,pce,millions of us dollars (USD),20733.1
2005,TN,pce,millions of us dollars (USD),158956.4
2005,TX,pce,millions of us dollars (USD),620204.2
2005,UT,pce,millions of us dollars (USD),60621.2
2005,VT,pce,millions of us dollars (USD),20693.7
2005,VA,pce,millions of us dollars (USD),240380.6
2005,WA,pce,millions of us dollars (USD),195074.7
2005,WV,pce,millions of us dollars (USD),44383.6
2005,WI,pce,millions of us dollars (USD),160653.1
2005,WY,pce,millions of us dollars (USD),15388.0
2006,US,pce,millions of us dollars (USD),9277236.0
2006,AL,pce,millions of us dollars (USD),121798.9
2006,AK,pce,millions of us dollars (USD),24497.2
2006,AZ,pce,millions of us dollars (USD),184147.5
2006,AR,pce,millions of us dollars (USD),69395.4
2006,CA,pce,millions of us dollars (USD),1177180.9
