windc_label,state,year,units,value
col,NE,2003,million metric tons of carbon dioxide,21.71690952939538
col,NV,2003,million metric tons of carbon dioxide,17.4444639320212
col,NH,2003,million metric tons of carbon dioxide,3.9808100878268
col,NJ,2003,million metric tons of carbon dioxide,10.21681131575605
col,NM,2003,million metric tons of carbon dioxide,29.21980083625825
col,NY,2003,million metric tons of carbon dioxide,27.24750126107674
col,NC,2003,million metric tons of carbon dioxide,73.69469393444511
col,ND,2003,million metric tons of carbon dioxide,40.05076812455961
col,OH,2003,million metric tons of carbon dioxide,137.7286009476764
col,OK,2003,million metric tons of carbon dioxide,37.6239025419471
col,OR,2003,million metric tons of carbon dioxide,4.288613888934743
col,PA,2003,million metric tons of carbon dioxide,138.751171622828
col,RI,2003,million metric tons of carbon dioxide,0.00963872748964194
col,SC,2003,million metric tons of carbon dioxide,40.02386462107577
col,SD,2003,million metric tons of carbon dioxide,4.100922969452519
col,TN,2003,million metric tons of carbon dioxide,59.24530744231249
col,TX,2003,million metric tons of carbon dioxide,153.220165454116
col,UT,2003,million metric tons of carbon dioxide,36.22756871242436
col,VT,2003,million metric tons of carbon dioxide,0.002385823636049985
col,VA,2003,million metric tons of carbon dioxide,44.13961492858574
col,WA,2003,million metric tons of carbon dioxide,11.29809868267789
col,WV,2003,million metric tons of carbon dioxide,93.32191503685746
col,WI,2003,million metric tons of carbon dioxide,46.60365893159724
col,WY,2003,million metric tons of carbon dioxide,47.16040075365572
col,US,2003,million metric tons of carbon dioxide,2128.698870400833
col,AL,2004,million metric tons of carbon dioxide,81.35664383742403
col,AK,2004,million metric tons of carbon dioxide,1.340587239746279
col,AZ,2004,million metric tons of carbon dioxide,40.65562865695192
col,AR,2004,million metric tons of carbon dioxide,25.82369385722296
col,CA,2004,million metric tons of carbon dioxide,6.499798557465887
col,CO,2004,million metric tons of carbon dioxide,37.3016369289271
col,CT,2004,million metric tons of carbon dioxide,4.207899800146579
col,DE,2004,million metric tons of carbon dioxide,5.120182150688343
col,DC,2004,million metric tons of carbon dioxide,0.07033170773898269
col,FL,2004,million metric tons of carbon dioxide,66.80610729818316
col,GA,2004,million metric tons of carbon dioxide,79.77089265629385
col,HI,2004,million metric tons of carbon dioxide,1.710873204512947
